,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6583SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,Dn4000SDSSindx,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,Metallicity_med(T04),Metallicity_avg(T04),Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,SFR_flag_all,totalSFR_Avg,totalSFR_Med,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all,sSFR_avg_all,sSFR_med_all,sSFR_flag_all,avgSFRD,medSFRD,Halpha_kcorr,Hbeta_kcorr,OIII5007_kcorr,OIII4959_kcorr,SII6716_kcorr,SII6731_kcorr,NII6583_kcorr,OII3726_kcorr,OII3729_kcorr,Log(O/H)+12 [NII/OII],Log(O/H)+12 [R23],NII/Halpha,OIII/Hbeta
75,20.387340545654297,-0.9699601531028748,0.04873993992805481,671.9454345703125,31.895841598510746,7.515846252441406,130.49745178222656,28.49787902832031,301.7509765625,111.79963684082031,79.73501586914062,80.82777404785156,49.68779373168945,16.180782318115234,7.406107425689697,3.4745125770568848,3.343946933746338,3.9538500308990483,3.8423874378204346,4.857472896575928,3.6440083980560303,3.3795149326324463,8.923079490661621,8.622197151184082,2.751043796539306,1.2696202993392944,6.176911354064941,0.07076524198055267,2.5677506923675537,0.025491945445537567,6.609395503997803,0.13094691932201385,9.091093063354492,9.103734016418457,10.337449073791504,10.322104454040527,0.0,0.4609901010990143,0.4609901010990143,0.3994820713996887,0.3696287572383881,-9.374360084533693,-9.399914741516113,-9.914770126342773,-9.944952011108398,0,0.003845908873171583,0.003845908873171583,901.8149384000549,195.9724732882616,47.34510142404057,11.199339025756222,148.78515992132907,106.02680671048535,404.54312391121096,135.74444990709034,83.41808876754666,9.268133613356804,8.249489054201627,-0.3481526012454694,-0.6169200224635648
76,147.1121063232422,25.41253089904785,0.044633235782384865,729.5635375976562,22.60598945617676,9.047110557556152,161.93223571777344,37.55022811889648,255.3745574951172,101.45001220703124,81.50638580322266,58.64939498901367,49.12787628173828,9.709298133850098,5.906982421875,1.7354004383087158,1.6480218172073364,2.667755603790283,2.0802686214447017,3.115504741668701,2.278687000274658,2.1229465007781982,3.659752607345581,3.485236167907715,1.5499948263168335,1.1823636293411257,6.656095504760742,0.15072305500507355,3.1660704612731934,0.044595539569854736,7.775656700134277,0.3556142747402191,9.130009651184082,9.140057563781738,10.086297035217283,10.072953224182127,0.0,0.2260701060295105,0.2260701060295105,0.07656905055046083,0.03429672494530678,-9.387140274047852,-9.407715797424316,-9.899009704589844,-9.937084197998047,0,0.001624254863069711,0.001624254863069711,915.8463934599484,221.72576071498744,30.676216685200846,12.31350186052547,126.52597416693321,101.58900078662522,320.314060318652,87.55546965932014,73.32145572080759,9.292979580237905,8.240727765415581,-0.45624663691499606,-0.859014356785031
77,169.42730712890625,27.84436416625977,0.04695424810051918,927.3047485351562,28.613874435424805,17.853199005126953,183.01031494140625,37.78714370727539,386.2742614746094,111.8113250732422,96.5760269165039,48.14193725585938,45.41409683227539,17.339330673217773,10.52783489227295,4.1295127868652335,4.023758888244629,4.974958896636963,4.248845100402832,6.530439853668213,4.6286582946777335,4.625472068786621,8.824918746948242,8.616451263427733,3.6797709465026855,1.304218053817749,10.514849662780762,0.34399762749671936,4.227550506591797,0.017828768119215962,10.642597198486328,0.08755803108215332,9.229046821594238,9.23079776763916,10.578371047973633,10.567340850830078,0.0,0.7265000939369202,0.7265000939369202,0.5577590465545654,0.5321791768074036,-9.301939964294434,-9.32760524749756,-9.889189720153807,-9.923975944519043,0,0.0020916049776707048,0.0020916049776707048,1234.5555132081856,271.7929805373624,42.017041291200904,26.314346522708288,147.64201605430128,127.42379230694226,513.7234777429908,79.71244901666404,75.17033034347504,9.357268667090915,8.16139976566076,-0.3807812093316927,-0.8108127687471107
78,168.08236694335938,28.57082176208496,0.03347589820623398,316.4930725097656,12.731307983398438,6.362977981567383,74.93122863769531,20.830280303955078,155.45005798339844,40.63762283325195,37.06099319458008,23.51853370666504,31.62741661071777,7.385601997375487,4.562851905822754,2.5483858585357666,2.6488845348358154,2.8403480052948,2.970831632614136,3.383877992630005,2.5584733486175537,2.512329339981079,5.669048309326173,5.67742395401001,2.1292366981506348,1.2817296981811523,14.936789512634276,0.20299434661865234,6.620127201080322,0.039432201534509666,15.013315200805664,0.21360427141189572,9.19453239440918,9.22141933441162,10.43179988861084,10.419426918029783,0.0,0.07789009809494019,0.07789009809494019,-0.5391395688056946,-0.5677022337913513,-9.863149642944336,-9.889562606811523,-10.392199516296387,-10.431679725646973,0,0.00011112655626403742,0.00011112655626403742,384.6789977699665,98.12127823068482,16.543344205084576,8.289349035242774,49.11710987732293,44.770065850800236,188.8057862292152,33.167803862206014,44.593350478945865,9.343676874926246,8.193533727127825,-0.30908317612393155,-0.7731398912645758
79,169.58334350585938,29.379701614379886,0.04749352857470512,657.0911865234375,128.0506591796875,43.79560470581055,200.59690856933597,53.37879943847656,239.82107543945312,164.46694946289062,119.12786865234376,205.22900390625,238.28125,20.318130493164066,7.660439491271973,3.495093822479248,2.672418594360352,3.752350807189941,2.768186330795288,3.793002843856812,3.543280124664306,3.1832876205444336,6.219947338104247,6.643691062927246,2.20125150680542,1.2512478828430176,6.189669132232666,0.0885346457362175,2.5493543148040767,0.02170506678521633,7.564713478088379,0.13526852428913114,8.9007568359375,8.891294479370117,10.082196235656738,10.067119598388672,0.0,-6.990433030296117e-05,-6.990433030296117e-05,-0.5290192365646362,-0.5759298801422119,-9.985779762268066,-10.007509231567383,-10.118959426879883,-10.180885314941406,0,-5.807902776878518e-07,-5.807902776878518e-07,703.2609620117971,220.33311558505466,140.2721341616648,48.01825142843041,175.6806193187448,127.2263905776675,256.6081066980019,231.31472589072513,268.54655074086344,9.133467238170192,6.178973378609019,-0.43784613803658257,-0.19610837098022277
80,132.08993530273438,17.84404945373535,0.046025417745113366,1317.140380859375,62.91311645507813,20.34618377685547,323.56878662109375,87.62590789794922,537.5052490234375,194.4832000732422,157.3946990966797,135.84327697753906,125.0063018798828,19.524005889892575,11.092845916748047,3.3531136512756348,3.0041956901550293,4.833222389221191,3.5204448699951167,5.7690019607543945,4.06330156326294,3.8556854724884033,6.99921464920044,7.1396241188049325,2.763338565826416,1.2916231155395508,7.708674907684326,0.1980426758527756,3.122114896774292,0.024629665538668636,9.539628982543944,0.1529446691274643,9.110922813415527,9.123377799987793,10.414299964904783,10.402090072631836,0.0,0.4545000791549682,0.4545000791549682,0.2345044612884521,0.22084836661815646,-9.612979888916016,-9.63705062866211,-9.998479843139648,-10.043889045715332,0,0.0024345832445059994,0.0024345832445059994,1571.600177079157,413.02625650884943,79.74793125067112,25.850314104795082,230.88325377862182,186.76210391672606,640.9323631596374,185.44085829948796,170.61160737967757,9.286182062801213,8.248938146712444,-0.3895298677239586,-0.714258235288765
81,193.095947265625,26.645267486572266,0.04486119747161865,938.0013427734376,39.37580490112305,22.7977294921875,204.84194946289062,57.495506286621094,550.7261962890625,137.67823791503906,138.02302551269528,80.75022888183594,73.01048278808594,17.9907283782959,7.046367168426514,3.27101469039917,3.0973384380340576,3.98684287071228,3.7742860317230233,5.0034003257751465,3.16467022895813,3.2041189670562744,7.051451683044434,7.2287049293518075,2.4951183795928955,1.296416163444519,5.998964786529541,0.07326088845729828,2.5668699741363525,0.014427161775529385,6.569253921508789,0.07933881133794785,-99.9000015258789,-99.9000015258789,10.276653289794922,10.261762619018556,0.0,0.2826400995254517,0.2826400995254517,0.014850864186882973,0.026584938168525696,-9.626779556274414,-9.614070892333984,-10.025469779968262,-10.061028480529783,0,0.0024999497503247893,0.0024999497503247893,1187.1159211859865,283.6483812116526,54.01902232390465,31.372455421182273,173.07000590729209,173.3906910777361,696.3881172786415,122.28799611757331,110.53618193035729,9.343719888348076,8.229555462397299,-0.23164177764604757,-0.7202335896375994
83,239.82748413085938,13.61363410949707,0.03444984182715416,4400.42431640625,444.5265808105469,143.46713256835938,1184.208984375,305.1902160644531,2320.675537109375,524.7202758789061,501.7646484375,630.9503173828125,467.9533996582031,90.2179946899414,31.384449005126953,8.7667236328125,6.725261211395264,12.691880226135256,8.196934700012207,16.273029327392578,8.224956512451174,8.076400756835938,17.584234237670902,16.728260040283207,5.058766841888428,1.0938898324966428,6.031081676483153,0.17127421498298645,2.622908592224121,0.00954536534845829,6.8610029220581055,0.059229757636785514,-99.9000015258789,-99.9000015258789,10.046760559082033,10.039111137390137,0.0,0.5587400794029236,0.5587400794029236,-0.029841005802154538,-0.02022695355117321,-9.272007942199707,-9.257022857666016,-9.532059669494627,-9.574821472167967,0,0.004889557216580824,0.004889557216580824,5016.367718563769,1419.23840925807,529.9993549811202,171.3464648590263,595.9244358412509,569.6477717466173,2644.2418838287326,794.7800711090185,589.3688885101235,9.281585991150347,8.160066207221252,-0.27808818438903204,-0.4277800150266108
85,167.64666748046875,22.190587997436523,0.0313485749065876,1174.2769775390625,97.89353942871094,33.14142608642578,257.44320678710943,55.41394424438477,638.8991088867188,221.0328826904297,179.83262634277344,148.4519805908203,132.00723266601562,41.80824279785156,11.49281120300293,3.8117191791534415,3.358459949493408,4.662567615509033,3.091406345367432,7.406270503997803,5.2386627197265625,4.927099227905273,6.259589195251465,6.193207740783691,3.62406063079834,1.3284391164779663,10.810401916503906,0.09569155424833298,4.52948808670044,0.01795923337340355,10.410709381103516,0.07428566366434097,-99.9000015258789,-99.9000015258789,10.412664413452148,10.398326873779297,0.0,0.13949009776115415,0.13949009776115415,-0.20306923985481265,-0.17563903331756592,-9.775999069213867,-9.747491836547852,-10.306249618530273,-10.33825969696045,0,0.00037993545614106055,0.00037993545614106055,1483.2413491692803,355.5252022742055,133.9468161361188,45.4860353697916,277.3251988560424,225.4867351441599,806.3110469860978,224.04288125726873,199.16960159875848,9.291025592721319,8.124750908186327,-0.26470921408823306,-0.42393799712893177
86,205.74432373046875,22.159334182739254,0.02670746110379696,2628.281005859375,697.665283203125,231.3958740234375,575.9398803710938,126.71439361572266,1633.6934814453125,251.58123779296875,272.962890625,922.2939453125,188.3093719482422,63.94325256347656,20.727996826171875,8.839618682861328,5.607729911804199,7.705284595489503,4.565864086151123,12.431535720825195,5.860629558563232,6.04252815246582,206.88999938964844,22.069135665893555,4.243542671203613,1.3477519750595093,6.985690593719482,0.06396825611591339,3.067997694015503,0.009346023201942444,7.586620330810548,0.0551738440990448,-99.9000015258789,-99.9000015258789,10.109477996826172,10.09798812866211,0.0,-0.13499990105628967,-0.13499990105628967,-0.43151789903640747,-0.3968214094638825,-9.834310531616213,-9.798038482666016,-10.275619506835938,-10.30319118499756,0,-0.0008805720268446333,-0.0008805720268446333,3320.595097946354,795.6246700351858,954.9124232923707,317.6888096103381,315.7261791738659,342.33849365351733,2062.2597991123776,1392.501702760669,284.2355305855042,9.175759993990201,-15.322215289367051,-0.20687254654616094,0.07925530260951483
87,198.05323791503903,23.623653411865234,0.0463460385799408,2469.594482421875,100.39894104003906,20.383695602416992,427.3226013183594,66.58358001708984,1368.4051513671875,383.8243103027344,321.2071228027344,153.67388916015625,150.78111267089844,63.11109924316406,20.822797775268555,4.574676036834717,3.871846914291382,6.831483840942383,4.639120101928711,11.585460662841795,6.490283489227295,6.1032166481018075,9.017538070678713,8.998300552368164,3.838597059249878,1.1304284334182741,6.20759916305542,0.037587713450193405,2.798891544342041,0.010347617790102959,7.281139850616455,0.07218232750892639,-99.9000015258789,-99.9000015258789,10.42916202545166,10.410645484924316,0.0,1.1140800714492798,1.1140800714492798,1.0317418575286863,1.0297269821166992,-8.778676986694336,-8.77820873260498,-9.352330207824707,-9.374382019042967,0,0.009202783415852268,0.009202783415852268,3511.540552514166,695.0573979200642,161.04601228558067,32.84776776412907,540.2825099307182,451.7017128834158,1943.2457225599558,285.7387183325041,280.2433895247488,9.363076614330504,8.22701197818924,-0.25696996775096587,-0.6350706945821548
88,221.1089324951172,16.792274475097653,0.03033988736569881,1161.5904541015625,34.08603286743164,12.64997673034668,258.3842163085937,54.55029678344727,444.6556396484375,186.05999755859372,149.81553649902344,81.44664001464844,70.04696655273439,20.87046241760254,10.669726371765137,2.916308879852295,2.945076942443848,4.561021327972412,3.2740440368652344,5.4899983406066895,4.276557922363281,3.9715397357940674,6.397907257080077,6.389626502990723,2.684908628463745,1.2385268211364746,10.301724433898926,0.19285862147808075,4.227050304412842,0.018863245844841003,10.705354690551758,0.09967049956321716,9.110413551330566,9.1212739944458,10.276711463928224,10.26336669921875,0.0,0.13119009137153625,0.13119009137153625,-0.07473908364772798,-0.11735226213932035,-9.51198959350586,-9.535024642944336,-10.184450149536133,-10.22781467437744,0,0.00039348782996986495,0.00039348782996986495,1456.6016751493316,353.26196443347595,46.18717958550649,17.191823332100906,231.8047741093866,186.53270475629975,557.1243715900769,121.3561169043461,104.34261850848422,9.319477450634416,8.217953054488342,-0.41738864784342067,-0.8835754367319174
89,206.8155059814453,17.973472595214844,0.03435971215367317,293.85894775390625,28.41648292541504,13.289363861083984,78.1080093383789,19.59661865234375,163.2829132080078,52.31584548950195,45.44387817382813,37.20485305786133,40.838321685791016,13.457244873046875,4.750783920288086,2.9419682025909424,2.783771276473999,3.0801482200622563,3.1935606002807617,3.770950317382813,3.1365654468536377,2.953496217727661,6.921945571899414,7.055561542510986,2.528337955474853,1.2718602418899536,8.932879447937012,0.07138435542583466,4.154334545135498,0.025805434212088585,8.121644020080566,0.08780144155025482,-99.9000015258789,-99.9000015258789,10.156636238098145,10.143157958984377,0.0,0.053660094738006585,0.053660094738006585,-0.5670856833457947,-0.5626075267791748,-9.816256523132324,-9.809825897216797,-10.141340255737305,-10.177807807922363,0,0.0002140516679010383,0.0002140516679010383,337.07334854492916,94.41500658227017,34.16331499948488,16.005683917353135,59.773698467593114,51.90244738026012,187.20107763264724,47.37972549028861,51.998456010159785,9.302076779151077,8.144214838257108,-0.2554160709700616,-0.4414810224041127
90,240.49664306640625,12.562393188476562,0.03327815607190132,546.97021484375,16.29878807067871,8.027729988098145,116.47350311279295,29.69369697570801,185.8985290527344,59.66204833984375,44.98307418823242,22.910903930664066,31.13473320007324,9.331064224243164,5.593087673187256,2.29382872581482,2.3865153789520264,2.9054682254791264,2.4569880962371826,3.3529448509216313,2.6528260707855225,2.4967925548553467,4.500655651092528,4.449456691741943,2.145609140396118,1.291465401649475,8.073553085327147,0.10817918181419373,3.539515733718872,0.019210461527109143,9.018683433532717,0.1203143745660782,9.171246528625488,9.18814754486084,10.141234397888184,10.130572319030762,0.0,0.09886009991168976,0.09886009991168976,-0.18880273401737213,-0.2092040330171585,-9.525449752807617,-9.546347618103027,-10.081779479980467,-10.120683670043944,0,0.0004827716533646646,0.0004827716533646646,701.0252242539691,164.12024716423664,22.742046017956472,11.237724739536265,75.92377951428136,57.20465801976622,238.0410339287389,35.476345789963744,48.19638920044101,9.361627434366719,8.108257451164928,-0.46908181705937907,-0.8583326283593128
